rawX,rawY,rawZ,timestampsensorType
-1.1875241,4.098873,5.631162,4,0
-0.7661445,4.213795,7.086837,8,0
-0.34476504,4.060566,8.42759,30,0
-0.61291564,4.098873,9.193734,48,0
-0.61291564,4.098873,8.580819,69,0
-0.4213795,4.2521024,7.393295,88,0
-0.5363012,4.2904096,6.9719152,111,0
-0.7278373,4.5202527,7.431602,144,0
-1.4173675,4.5202527,8.00621,152,0
-1.9536686,4.405331,9.040505,169,0
-1.532289,4.6351743,9.423578,188,0
-1.685518,4.7884035,10.0748005,211,0
-2.2218192,4.0222588,11.377247,231,0
-1.340753,3.7924154,12.488156,266,0
-0.38307226,3.8307228,12.98615,271,0
-0.7278373,3.9839516,12.028469,288,0
-0.91937345,4.4819455,13.024457,312,0
0.38307226,4.060566,14.211981,329,0
1.2258313,2.4899697,14.978126,348,0
0.80445176,2.1068976,13.982138,386,0
0.6512229,3.1411927,12.5264635,390,0
-1.1109096,1.9153614,8.389283,413,0
-0.842759,1.2258313,7.3549876,429,0
-2.0685902,2.336741,5.631162,448,0
-0.80445176,1.9153614,6.7803793,469,0
-0.19153613,2.030283,8.42759,500,0
1.1492168,1.8004397,9.500193,519,0
1.2641385,1.9919758,10.572795,530,0
2.873042,1.9536686,10.91756,549,0
5.7843914,0.5363012,8.236053,568,0
6.8186865,1.0342951,7.967903,588,0
6.7803793,1.685518,5.93762,615,0
5.4779334,2.3750482,6.244078,636,0
5.4779334,2.9879637,5.746084,648,0
5.3247046,2.528277,6.2823853,671,0
5.2863975,2.566584,7.0102224,689,0
5.2863975,2.566584,8.00621,710,0
2.9879637,1.6472107,8.159439,747,0
4.711789,3.064578,8.236053,750,0
4.711789,3.217807,7.3549876,769,0
5.209783,3.3327289,6.6271505,788,0
4.9416323,3.6008794,6.6271505,808,0
5.7843914,2.9879637,7.6231384,829,0
4.9416323,3.2944214,7.3549876,853,0
5.4779334,3.2944214,6.6271505,874,0
5.2480903,3.715801,6.397307,889,0
5.9759274,2.4516625,5.66947,908,0
4.865018,3.217807,6.8569937,931,0
6.205771,2.873042,8.274361,950,0
7.0102224,2.2218192,8.619126,995,0
7.929596,1.9536686,9.270349,995,0
7.8529816,1.9153614,7.929596,1011,0
7.1634517,1.4939818,7.776367,1029,0
6.933608,1.2258313,8.312668,1048,0
7.086837,0.15322891,8.236053,1071,0
7.0485296,0.15322891,7.8529816,1091,0
7.0485296,-0.5746084,6.895301,1133,0
5.746084,-0.30645782,4.903325,1133,0
9.500193,-2.4899697,5.0182467,1148,0
4.0222588,-0.19153613,4.7884035,1171,0
2.6431987,0.6895301,2.7964275,1189,0
2.2984335,-0.45968673,0.8810662,1208,0
2.3750482,-0.6895301,2.9113493,1229,0
3.371036,-1.7238252,4.55856,1255,0
4.865018,-1.7238252,6.090849,1278,0
6.435614,-2.1452048,6.3206925,1289,0
6.3206925,-1.8770541,4.903325,1308,0
5.209783,-1.9536686,5.554548,1329,0
4.7500963,-2.3750482,6.5122285,1351,0
6.6654577,-4.711789,6.933608,1376,0
6.4739213,-2.7581203,8.810662,1393,0
8.963891,-2.9496565,9.576807,1408,0
9.040505,-3.1411927,7.8912888,1429,0
8.42759,-2.681506,6.2823853,1450,0
8.121132,-2.9879637,4.4819455,1471,0
9.002198,-2.6431987,2.7581203,1500,0
10.342952,-2.681506,1.6472107,1509,0
10.342952,-3.6391866,2.7581203,1531,0
10.189722,-4.0222588,4.5202527,1548,0
11.33894,-5.0182467,4.1371803,1573,0
12.220005,-6.244078,2.336741,1592,0
12.5264635,-7.699753,6.703765,1611,0
11.87524,-9.615114,15.514427,1628,0
10.0748005,-11.109096,9.040505,1650,0
18.50239,-5.363012,-18.885464,1707,0
17.391481,-6.397307,-16.089035,1707,0
11.147403,-12.143391,9.80665,1708,0
4.8267107,-12.143391,4.405331,1731,0
4.213795,-10.879252,1.6472107,1748,0
4.1371803,-7.0102224,4.2521024,1768,0
2.9879637,-5.7843914,2.528277,1788,0
1.3024458,-5.746084,1.6089035,1812,0
0.4213795,-5.401319,0.8810662,1828,0
2.2218192,-5.66947,0.38307226,1851,0
3.9073372,-6.933608,1.8387469,1868,0
5.4779334,-7.201759,1.4556746,1888,0
6.8569937,-7.776367,-0.22984336,1908,0
8.159439,-8.887277,0.6512229,1928,0
0.4213795,-2.4899697,12.334928,4138,0
5.0182467,-1.0342951,9.040505,4158,0
-0.7278373,-8.810662,-7.431602,4178,0
-0.2681506,-5.5162406,-11.147403,4198,0
13.445837,-9.385271,-3.7924154,4218,0
1.8770541,-9.844957,-4.6351743,4238,0
-4.367024,-16.970102,5.554548,4258,0
-8.580819,-19.421764,7.5848308,4278,0
-4.711789,-19.421764,10.266336,4298,0
-5.7843914,-19.421764,17.583017,4318,0
-1.9536686,-19.000385,18.885464,4338,0
0.6895301,-14.939818,12.909535,4358,0
2.681506,-12.871228,7.8146744,4378,0
-3.217807,-11.60709,1.532289,4398,0
-5.439626,-10.381259,0.34476504,4418,0
-8.082825,-8.159439,-1.0726024,4438,0
-10.419566,-6.0142345,-1.4556746,4459,0
-9.002198,-8.350976,9.308656,4479,0
-15.016433,-7.086837,2.9879637,4501,0
-2.4133554,-3.4859576,-8.887277,4519,0
3.6774938,-8.312668,2.834735,4538,0
