rawX,rawY,rawZ,timestampsensorType
-1.532289,2.566584,10.151415,37,0
-1.4939818,2.6431987,10.0748005,51,0
-1.532289,3.371036,9.615114,76,0
-1.7621324,3.2944214,9.500193,92,0
-1.7621324,3.1794999,9.80665,111,0
-1.532289,2.9113493,9.80665,135,0
-1.5705963,2.6048915,9.5385,162,0
-1.1492168,2.719813,9.308656,183,0
-1.340753,3.0262709,9.002198,193,0
-1.0726024,2.834735,8.810662,211,0
-0.6895301,2.7581203,8.810662,232,0
-0.2681506,2.7964275,8.6574335,251,0
-0.22984336,3.217807,8.925584,289,0
-0.30645782,3.4093432,8.734048,295,0
-0.4213795,3.4476504,8.42759,311,0
0.15322891,3.4093432,8.810662,332,0
0.30645782,3.3327289,8.925584,351,0
0.49799395,3.3327289,9.11712,374,0
0.4213795,3.4093432,9.155427,409,0
0.19153613,3.6008794,9.11712,413,0
-0.038307227,3.5242648,8.580819,432,0
0.076614454,3.6774938,8.848969,451,0
0.076614454,3.6008794,8.848969,479,0
0.19153613,3.7541082,8.42759,492,0
-0.038307227,3.6774938,8.389283,515,0
-0.15322891,3.7541082,8.580819,536,0
-0.076614454,3.86903,8.695741,551,0
0.15322891,3.8307228,8.810662,574,0
0.076614454,3.6008794,8.925584,594,0
-0.038307227,3.5625722,9.040505,613,0
0.11492168,3.5625722,9.11712,648,0
0.19153613,3.5625722,9.040505,654,0
0.2681506,3.9073372,9.155427,674,0
0.30645782,3.9456444,8.887277,692,0
0.11492168,4.2904096,9.002198,711,0
0.0,4.4819455,9.040505,732,0
0.038307227,4.596867,9.155427,756,0
-0.15322891,4.175488,9.883265,774,0
0.15322891,3.86903,10.381259,792,0
0.22984336,3.4476504,10.457873,811,0
0.45968673,4.1371803,9.730036,832,0
-0.11492168,4.367024,9.5385,853,0
-0.22984336,3.715801,10.572795,891,0
0.11492168,3.1411927,10.6877165,893,0
0.30645782,3.1794999,9.11712,912,0
0.038307227,3.0262709,9.078813,932,0
0.11492168,2.7964275,8.6574335,951,0
-0.15322891,2.873042,8.159439,974,0
0.22984336,3.2561142,7.8146744,1009,0
0.80445176,3.5625722,7.967903,1013,0
0.15322891,3.7924154,8.350976,1036,0
-0.076614454,4.060566,8.389283,1051,0
0.0,4.060566,8.887277,1074,0
0.7661445,3.7924154,9.193734,1092,0
0.6895301,3.6774938,9.5385,1115,0
0.38307226,3.9073372,9.576807,1139,0
0.45968673,3.6774938,9.423578,1151,0
0.9959879,3.4859576,9.5385,1174,0
0.6512229,3.715801,9.002198,1193,0
0.34476504,3.6008794,8.6574335,1212,0
0.5363012,3.4859576,8.963891,1243,0
-0.076614454,3.2944214,9.193734,1254,0
-0.34476504,3.715801,9.002198,1279,0
-0.4213795,3.9456444,8.887277,1296,0
-0.45968673,3.8307228,9.11712,1311,0
0.19153613,3.715801,9.232041,1332,0
0.076614454,3.6774938,9.461885,1353,0
0.038307227,3.4859576,9.5385,1381,0
0.34476504,3.2944214,9.730036,1396,0
-0.2681506,3.4476504,9.078813,1411,0
0.0,3.371036,9.385271,1433,0
0.15322891,3.371036,8.925584,1451,0
-0.22984336,3.6391866,9.002198,1484,0
-0.076614454,3.6774938,8.963891,1499,0
0.0,3.6391866,9.002198,1511,0
0.15322891,3.6774938,8.925584,1532,0
0.38307226,3.5625722,9.155427,1551,0
0.30645782,3.4859576,9.308656,1577,0
0.15322891,3.3327289,9.461885,1597,0
0.15322891,3.5625722,9.653421,1612,0
0.076614454,3.4859576,9.461885,1632,0
0.076614454,3.715801,9.768343,1665,0
0.11492168,3.4859576,9.615114,1671,0
-0.19153613,3.5625722,9.385271,1691,0
-0.076614454,3.4093432,9.270349,1713,0
-0.22984336,3.6008794,9.346964,1734,0
-0.11492168,3.6391866,9.155427,1751,0
-0.2681506,3.6008794,9.155427,1771,0
-0.34476504,3.6774938,8.848969,1791,0
-0.30645782,3.4476504,9.040505,1811,0
-0.2681506,3.5625722,9.232041,1832,0
-0.11492168,3.4859576,9.232041,1851,0
0.0,3.4859576,9.308656,1871,0
-0.38307226,3.4476504,9.308656,1891,0
-0.19153613,3.371036,9.270349,1911,0
-0.11492168,3.4476504,9.193734,1931,0
-0.30645782,3.5625722,9.002198,1952,0
-0.038307227,3.4859576,8.887277,1971,0
-0.2681506,3.7924154,8.734048,1991,0
-0.19153613,3.715801,9.193734,2881,0
-0.19153613,3.5625722,9.193734,2901,0
-0.34476504,3.3327289,9.155427,2923,0
-0.6895301,3.4093432,9.002198,2941,0
-0.22984336,3.4093432,9.270349,2961,0
-0.30645782,3.4093432,9.11712,2981,0
-0.15322891,3.4476504,9.423578,3001,0
-0.49799395,3.5625722,9.193734,3021,0
-0.22984336,3.6391866,9.11712,3041,0
-0.49799395,3.3327289,9.078813,3061,0
-0.34476504,3.5242648,9.308656,3081,0
-0.5363012,3.5625722,8.810662,3101,0
-0.5363012,3.6008794,8.963891,3121,0
-0.5363012,3.6774938,9.078813,3141,0
-0.49799395,3.6391866,9.078813,3161,0
-0.30645782,3.4859576,9.040505,3181,0
-0.30645782,3.6008794,9.078813,3201,0
-0.2681506,3.4859576,9.193734,3221,0
-0.38307226,3.6391866,9.155427,3242,0
-0.30645782,3.5625722,9.270349,3261,0
-0.45968673,3.6774938,8.925584,3281,0
-0.38307226,3.6008794,9.040505,3301,0
-0.4213795,3.5625722,8.963891,3321,0
-0.2681506,3.4093432,9.078813,3341,0
-0.4213795,3.2944214,9.155427,3361,0
-0.5363012,3.7541082,8.695741,3381,0
-0.5746084,3.4476504,8.772355,3401,0
-0.842759,3.5242648,8.925584,3421,0
-1.0726024,3.6774938,9.653421,3441,0
-1.1875241,3.6008794,9.730036,3461,0
-0.9959879,3.9073372,9.078813,3481,0
-1.3024458,3.7924154,8.963891,3501,0
-1.9153614,3.9456444,9.308656,3521,0
-1.340753,3.5625722,9.346964,3541,0
-0.7278373,3.4859576,9.002198,3561,0
-0.9576807,3.5242648,9.078813,3581,0
-1.0342951,3.4476504,9.002198,3601,0
-0.45968673,3.217807,9.002198,3621,0
-0.30645782,3.1028855,9.040505,3641,0
-0.19153613,3.1794999,9.155427,3661,0
-0.38307226,3.064578,9.078813,3681,0
-0.19153613,3.0262709,9.5385,3701,0
-0.11492168,3.1411927,9.155427,3721,0
-0.22984336,2.9879637,9.040505,3741,0
-0.80445176,3.2944214,9.270349,3761,0
-0.9959879,3.3327289,9.423578,3781,0
-1.4556746,3.7541082,9.346964,3801,0
-0.9959879,3.86903,9.078813,3821,0
-0.19153613,3.6774938,9.155427,3841,0
-0.38307226,3.6391866,8.695741,3861,0
-0.7661445,3.8307228,8.695741,3881,0
-0.7661445,3.6008794,9.11712,3901,0
-0.34476504,3.86903,8.772355,3921,0
-0.6512229,3.6774938,8.848969,3941,0
-1.5705963,4.0222588,9.308656,3961,0
-0.15322891,3.5625722,9.193734,3981,0
0.19153613,3.5625722,8.465898,4001,0
-0.6512229,3.715801,8.695741,4021,0
-1.1492168,3.9839516,9.423578,4041,0
-0.8810662,3.9456444,9.500193,4061,0
-0.842759,4.098873,7.8529816,4081,0
-2.0685902,4.0222588,9.040505,4101,0
-0.5746084,3.6391866,9.193734,4121,0
-0.7278373,3.4093432,9.155427,4142,0
