rawX,rawY,rawZ,timestampsensorType
-2.7581203,2.9496565,7.5082164,1,0
-2.9496565,3.1794999,7.201759,5,0
-3.2944214,3.3327289,6.9719152,19,0
-2.834735,3.371036,6.895301,38,0
-2.6431987,3.4093432,7.8529816,62,0
-2.834735,3.4859576,8.197746,81,0
-3.064578,2.9113493,9.002198,99,0
-3.0262709,3.1028855,9.11712,116,0
-2.1452048,3.2561142,9.232041,146,0
-1.5705963,3.5625722,9.155427,156,0
-1.3790601,3.715801,8.925584,182,0
-1.7238252,3.5625722,8.42759,199,0
-1.7238252,3.4859576,8.42759,215,0
-1.6472107,3.6774938,8.159439,239,0
-1.7238252,3.5625722,8.00621,269,0
-1.6472107,3.6391866,7.5848308,284,0
-1.685518,3.715801,7.6231384,300,0
-1.8770541,3.715801,7.5848308,316,0
-1.8387469,3.7541082,7.1251445,337,0
-1.685518,4.060566,7.1634517,355,0
-1.2641385,4.4819455,7.3166804,401,0
-1.1875241,4.2904096,8.0445175,405,0
-1.1109096,4.060566,9.232041,415,0
-0.7661445,3.86903,10.228029,437,0
-0.45968673,3.7924154,10.342952,455,0
-0.5363012,4.1371803,10.496181,489,0
-0.842759,4.2521024,10.994174,506,0
-0.6512229,3.9839516,10.955867,520,0
-0.22984336,3.5625722,11.492168,539,0
0.49799395,3.2561142,12.066776,555,0
0.9959879,2.1068976,12.411542,578,0
0.30645782,1.7238252,11.530476,598,0
0.15322891,1.8770541,10.0748005,629,0
-0.076614454,2.566584,8.734048,641,0
0.038307227,2.9113493,8.734048,656,0
-0.30645782,2.9496565,9.11712,679,0
-0.076614454,2.6431987,9.078813,697,0
-0.2681506,2.6048915,8.848969,715,0
0.076614454,2.6431987,8.848969,757,0
0.61291564,3.2944214,8.350976,758,0
0.4213795,3.2944214,7.8146744,787,0
0.49799395,3.4859576,7.431602,796,0
0.38307226,3.5242648,7.6231384,815,0
-0.038307227,3.4859576,7.8146744,836,0
0.4213795,3.4859576,7.776367,855,0
0.49799395,3.3327289,8.0445175,903,0
0.45968673,3.4093432,7.699753,903,0
0.2681506,3.86903,7.5848308,915,0
0.15322891,3.9073372,7.431602,936,0
0.5363012,3.9839516,7.1251445,955,0
0.5363012,3.5625722,5.401319,978,0
-0.34476504,3.4859576,5.2480903,1001,0
-0.91937345,3.3327289,7.086837,1029,0
-1.6472107,3.4476504,7.929596,1046,0
-1.8004397,3.6008794,8.00621,1055,0
-1.4556746,3.064578,10.534488,1080,0
0.45968673,2.528277,11.032481,1100,0
0.30645782,2.9113493,11.722012,1115,0
-0.19153613,3.0262709,11.109096,1156,0
-0.5363012,3.1028855,11.032481,1156,0
-1.5705963,4.5202527,8.848969,1176,0
2.2218192,2.2984335,12.603078,1195,0
2.336741,0.8810662,15.629349,1215,0
1.3790601,1.2641385,12.603078,1236,0
0.2681506,2.3750482,9.730036,1260,0
0.45968673,3.5625722,9.346964,1278,0
0.34476504,3.86903,10.840945,1296,0
-0.34476504,3.064578,11.262324,1316,0
0.6512229,1.3790601,12.5264635,1337,0
0.91937345,2.1452048,12.488156,1358,0
1.685518,1.6472107,13.982138,1401,0
1.6472107,1.685518,15.016433,1401,0
1.685518,1.3790601,13.484144,1417,0
1.4173675,1.4939818,11.722012,1436,0
0.91937345,1.5705963,10.419566,1455,0
0.5363012,1.4556746,9.5385,1479,0
-0.34476504,1.4173675,8.350976,1517,0
-0.5746084,1.4173675,7.6614456,1522,0
-0.5363012,1.6472107,7.0102224,1535,0
-0.038307227,2.1068976,6.244078,1556,0
-0.4213795,2.1068976,6.3589997,1579,0
0.0,2.2984335,6.7803793,1598,0
0.0,2.2601264,6.742072,1629,0
-0.34476504,2.4899697,6.742072,1639,0
-0.076614454,2.6048915,7.5082164,1655,0
0.19153613,2.566584,8.619126,1679,0
0.2681506,2.4899697,8.848969,1697,0
0.0,2.6431987,8.772355,1716,0
-0.2681506,2.7964275,8.848969,1745,0
-0.2681506,3.1411927,9.385271,1757,0
-0.038307227,3.8307228,9.346964,1780,0
0.9576807,3.9456444,8.848969,1799,0
1.8387469,3.6391866,8.6574335,1815,0
1.8770541,3.217807,8.925584,1836,0
1.2641385,3.2944214,9.040505,1861,0
1.1109096,4.367024,9.155427,1880,0
1.685518,4.711789,8.42759,1896,0
1.9919758,3.371036,8.082825,1915,0
2.3750482,2.7964275,8.695741,1948,0
2.4133554,2.834735,8.274361,1956,0
3.2944214,2.4899697,5.7843914,1978,0
3.6391866,1.9919758,4.5202527,1997,0
3.4476504,1.532289,6.2823853,2015,0
3.7541082,1.3790601,7.6231384,2035,0
3.86903,1.1875241,6.129156,2055,0
3.3327289,1.532289,5.0182467,2092,0
3.8307228,2.183512,4.903325,2104,0
3.217807,2.1452048,6.8186865,2116,0
2.1068976,2.183512,7.776367,2136,0
3.371036,1.5705963,10.151415,2155,0
3.4859576,1.9919758,12.29662,2182,0
3.1794999,2.2601264,11.453861,2217,0
3.1411927,2.528277,10.228029,2217,0
3.5625722,2.9496565,9.998186,2236,0
4.213795,2.9879637,11.530476,2255,0
4.098873,2.336741,12.5264635,2280,0
4.2521024,1.8770541,13.139379,2296,0
4.3287168,2.681506,12.29662,2321,0
5.133168,2.4516625,11.492168,2336,0
5.592855,2.6048915,12.181698,2355,0
4.9799395,2.1068976,12.641385,2382,0
3.0262709,1.340753,11.87524,2396,0
5.66947,0.5746084,11.530476,2419,0
5.861006,1.3024458,8.159439,2453,0
4.6351743,0.076614454,5.93762,2457,0
1.6089035,-0.34476504,5.66947,2484,0
-0.80445176,-1.8770541,5.93762,2496,0
0.49799395,-2.2984335,3.6008794,2515,0
4.1371803,-2.9879637,0.19153613,2537,0
7.1251445,-8.0445175,-0.4213795,2561,0
-2.681506,-0.91937345,-0.4213795,2579,0
-0.61291564,-6.205771,-0.34476504,2596,0
-1.6472107,-9.232041,3.371036,2628,0
-1.8770541,-10.151415,4.903325,2648,0
0.6895301,-11.33894,1.3024458,2655,0
6.588843,-9.653421,0.61291564,2679,0
7.8912888,-9.002198,1.0726024,2697,0
6.933608,-11.683704,2.681506,2715,0
6.4739213,-15.131354,5.631162,2736,0
8.389283,-18.08101,6.0142345,2755,0
18.732235,-16.663643,3.0262709,2801,0
19.077,-15.7825775,3.0262709,2801,0
19.115307,-13.867216,4.213795,2816,0
19.077,-12.334928,1.1109096,2836,0
17.621325,-10.879252,-1.8770541,2855,0
14.480132,-11.683704,3.1028855,2878,0
11.87524,-10.6877165,-1.1109096,2901,0
8.159439,-10.840945,-1.1875241,2918,0
8.00621,-11.951855,1.8387469,2939,0
6.2823853,-10.304645,1.4173675,2955,0
-3.8307228,-16.931795,1.6472107,2976,0
2.1068976,-11.530476,2.3750482,2995,0
1.1875241,-10.419566,-1.4556746,3018,0
1.9536686,-9.921572,2.1452048,3054,0
-0.9959879,-9.691729,-7.201759,3057,0
-0.842759,-7.8529816,-5.056554,3080,0
1.3790601,-8.772355,2.873042,3096,0
4.2904096,-8.6574335,3.4859576,3115,0
2.4899697,-9.308656,3.6391866,3137,0
0.6895301,-8.542512,2.9496565,3161,0
0.49799395,-8.350976,4.098873,3180,0
0.91937345,-8.00621,3.4859576,3196,0
0.842759,-7.8146744,4.098873,3215,0
2.3750482,-8.0445175,5.631162,3236,0
3.86903,-7.0485296,3.4093432,3258,0
0.34476504,-7.3549876,3.9456444,3301,0
1.5705963,-8.734048,3.1028855,3301,0
6.5505357,-5.056554,5.133168,3318,0
5.133168,-2.566584,0.6895301,3337,0
3.86903,-0.22984336,3.217807,3355,0
2.528277,0.076614454,1.7238252,3379,0
0.38307226,-0.2681506,-0.45968673,3398,0
-0.2681506,-4.0222588,5.363012,3431,0
2.3750482,-7.086837,8.580819,3439,0
1.3790601,-8.159439,7.3549876,3455,0
1.8387469,-12.181698,8.0445175,3479,0
3.8307228,-14.441825,5.746084,3499,0
-1.1875241,-16.16565,5.4779334,3515,0
-3.0262709,-17.697939,6.7803793,3553,0
-4.0222588,-15.361198,5.401319,3557,0
1.6472107,-13.867216,5.631162,3589,0
3.0262709,-11.492168,5.4779334,3599,0
1.5705963,-9.423578,4.1371803,3615,0
0.9959879,-8.197746,1.8387469,3639,0
-1.532289,-10.802638,4.865018,3657,0
-0.8810662,-10.879252,5.4779334,3691,0
2.834735,-8.082825,3.217807,3697,0
2.9113493,-7.8146744,3.2944214,3715,0
2.7964275,-7.929596,4.9416323,3739,0
2.1068976,-8.236053,6.0525417,3755,0
0.34476504,-9.11712,7.3549876,3785,0
2.719813,-7.5465236,3.9839516,3798,0
2.2218192,-5.133168,3.1028855,3815,0
1.0342951,-8.197746,5.209783,3839,0
0.7661445,-8.00621,4.55856,3855,0
-1.9919758,-7.0102224,5.2480903,3880,0
-0.7278373,-10.879252,8.159439,3913,0
-0.45968673,-3.7541082,11.760319,3917,0
-0.4213795,-7.240066,3.6391866,3936,0
-0.5363012,-5.401319,2.4516625,3955,0
-2.681506,-4.175488,4.8267107,3978,0
0.30645782,-5.0182467,3.86903,3997,0
-1.9919758,-3.9456444,3.715801,4026,0
-1.8770541,-3.3327289,3.8307228,4037,0
5.746084,-4.4819455,3.1028855,4055,0
1.8387469,-4.367024,3.2561142,4076,0
0.49799395,-1.6472107,4.673482,4095,0
2.7964275,-1.9153614,7.201759,4118,0
-0.34476504,-6.435614,9.768343,4149,0
3.1411927,-13.40753,10.342952,4159,0
2.183512,-12.066776,5.5162406,4176,0
1.7621324,-9.768343,6.8186865,4195,0
1.9153614,-7.3549876,9.461885,4215,0
-0.61291564,-7.201759,10.036493,4235,0
1.3790601,-7.393295,5.899313,4259,0
2.3750482,-6.6271505,6.5505357,4284,0
-2.9113493,-2.1068976,0.34476504,4296,0
6.397307,-8.963891,13.905523,4315,0
4.9416323,-4.098873,10.496181,4335,0
3.0262709,-3.7541082,-4.2521024,4358,0
5.9759274,-3.217807,3.5242648,4388,0
5.8226986,-2.2601264,8.389283,4402,0
5.2480903,-4.7500963,11.377247,4415,0
6.7803793,-3.7541082,10.726024,4435,0
7.086837,-0.61291564,7.776367,4455,0
9.232041,0.11492168,6.6271505,4484,0
10.457873,-1.0726024,4.4436383,4512,0
8.6574335,1.9536686,1.9536686,4518,0
9.040505,0.30645782,0.9959879,4535,0
2.719813,-4.9416323,0.5363012,4558,0
6.090849,-4.213795,4.7500963,4578,0
8.772355,-3.371036,5.209783,4595,0
11.568783,-1.1875241,2.1452048,4621,0
12.603078,-1.0342951,3.3327289,4645,0
10.113108,-0.2681506,1.6472107,4655,0
9.423578,0.038307227,2.9113493,4678,0
7.8146744,-0.45968673,2.9879637,4696,0
11.377247,4.3287168,4.405331,4718,0
9.80665,1.4939818,3.1411927,4767,0
10.572795,2.183512,3.2561142,4767,0
10.381259,3.064578,2.030283,4780,0
11.645397,3.86903,0.6895301,4795,0
11.951855,3.4859576,0.4213795,4815,0
9.615114,2.6431987,-0.19153613,4837,0
9.193734,1.2258313,2.681506,4858,0
8.734048,0.9959879,2.2218192,4899,0
8.465898,1.4173675,2.4899697,4899,0
8.197746,1.0342951,4.3287168,4916,0
7.6231384,-0.7661445,6.4739213,4935,0
5.899313,-1.1875241,9.500193,4955,0
6.2823853,-3.2561142,11.33894,4982,0
9.844957,-2.566584,8.619126,5001,0
12.5264635,-2.7964275,5.592855,5015,0
12.679692,-2.1068976,5.363012,5036,0
11.568783,-2.9496565,5.363012,5055,0
11.147403,-4.098873,2.9496565,5081,0
10.189722,-4.8267107,3.6008794,5099,0
9.040505,-4.865018,4.4436383,5131,0
8.504205,-5.9759274,3.2944214,5145,0
8.772355,-7.240066,-7.967903,5155,0
9.040505,-7.8529816,-11.530476,5178,0
11.032481,-7.086837,-7.8912888,5202,0
12.449849,-4.5202527,-5.66947,5241,0
12.564771,-1.7621324,-1.9153614,5241,0
13.484144,-0.842759,3.715801,5257,0
