rawX,rawY,rawZ,timestampsensorType
-3.0262709,3.6008794,6.895301,16,0
-2.3750482,3.3327289,9.232041,16,0
-2.566584,3.2561142,9.844957,16,0
-2.681506,2.0685902,9.998186,16,0
-2.4133554,2.1068976,9.461885,16,0
-2.3750482,2.566584,8.963891,16,0
-2.4133554,2.566584,8.580819,36,0
-2.6048915,2.7964275,8.695741,49,0
-2.719813,2.336741,8.772355,69,0
-3.064578,2.183512,8.734048,89,0
-3.1028855,2.2218192,9.040505,113,0
-2.6431987,2.4516625,9.385271,154,0
-2.4899697,2.4516625,9.040505,154,0
-2.4516625,2.528277,8.810662,169,0
-2.7581203,2.566584,8.887277,189,0
-2.719813,2.6048915,9.5385,211,0
-2.528277,2.6048915,9.691729,232,0
-2.4516625,2.4516625,9.998186,250,0
-2.336741,2.4133554,9.80665,287,0
-2.1452048,2.336741,9.653421,291,0
-2.336741,2.4516625,9.998186,309,0
-1.9536686,2.183512,9.844957,328,0
-2.0685902,2.2984335,9.844957,348,0
-1.8004397,2.528277,9.844957,369,0
-1.7621324,2.2601264,9.423578,390,0
-1.8004397,2.336741,8.887277,408,0
-1.8004397,2.2601264,8.810662,429,0
-1.7621324,2.2218192,8.465898,448,0
-1.8004397,2.2601264,8.619126,469,0
-1.2641385,2.2601264,8.619126,488,0
-1.2258313,2.4133554,9.155427,510,0
-1.1875241,2.3750482,9.155427,528,0
-1.0726024,2.4133554,9.461885,548,0
-1.1875241,2.4133554,9.730036,568,0
-1.1875241,2.4133554,9.768343,588,0
-1.0726024,2.336741,9.80665,608,0
-1.340753,2.2984335,9.691729,639,0
-1.4556746,2.030283,9.921572,648,0
-1.532289,2.183512,9.921572,668,0
-1.0726024,2.2984335,9.921572,688,0
-1.2258313,2.1452048,9.883265,709,0
-1.3024458,1.9919758,9.768343,728,0
-1.1875241,2.030283,9.615114,758,0
-1.1492168,2.1452048,9.461885,772,0
-1.2258313,2.2601264,9.5385,788,0
-1.0726024,2.183512,9.232041,812,0
-1.0342951,2.566584,9.193734,829,0
-1.1109096,2.336741,9.308656,848,0
-1.2641385,2.4516625,9.461885,886,0
-1.0726024,2.2601264,9.232041,890,0
-1.0726024,2.2218192,9.078813,911,0
-1.0342951,2.336741,9.193734,929,0
-1.2641385,2.2984335,9.423578,948,0
-1.1109096,2.336741,9.653421,971,0
-1.1875241,2.2601264,9.921572,1002,0
-1.0342951,2.2601264,10.151415,1015,0
