rawX,rawY,rawZ,timestampsensorType
-0.2681506,5.0182467,8.121132,17,0
-0.4213795,4.865018,8.734048,17,0
-0.7278373,4.673482,8.887277,17,0
-0.9576807,4.711789,8.810662,17,0
-0.842759,4.7500963,8.580819,116,0
-0.7661445,4.711789,8.42759,116,0
-0.9576807,4.6351743,8.42759,116,0
-1.0342951,4.865018,8.848969,156,0
-1.1492168,4.5202527,8.619126,156,0
-0.80445176,4.55856,8.619126,156,0
-0.8810662,4.405331,8.6574335,156,0
-0.91937345,4.2904096,8.504205,175,0
-0.6512229,4.405331,8.580819,197,0
-0.6512229,4.175488,8.772355,214,0
-0.7278373,4.098873,8.542512,308,0
-0.7661445,4.213795,8.542512,308,0
-0.6895301,4.2904096,8.580819,308,0
-0.6895301,4.098873,8.504205,308,0
-0.49799395,4.060566,8.925584,315,0
-0.2681506,4.175488,8.734048,334,0
-0.5363012,4.060566,8.695741,354,0
-0.6512229,3.9073372,8.695741,374,0
-0.5746084,4.0222588,8.848969,394,0
-0.45968673,3.8307228,8.887277,565,0
-0.5363012,4.0222588,9.078813,565,0
-0.19153613,3.9839516,9.270349,565,0
-0.15322891,3.86903,9.11712,577,0
-0.22984336,3.7541082,9.155427,577,0
-0.19153613,3.7924154,9.155427,577,0
-0.11492168,4.0222588,9.040505,578,0
-0.11492168,4.060566,9.040505,578,0
-0.34476504,3.86903,9.346964,578,0
0.076614454,3.8307228,9.193734,594,0
0.0,3.86903,9.11712,614,0
-0.076614454,3.9456444,9.346964,634,0
0.11492168,3.8307228,9.155427,654,0
0.0,3.6008794,9.078813,677,0
0.19153613,3.4476504,8.887277,694,0
-0.076614454,3.4476504,8.925584,715,0
-0.038307227,3.2944214,8.925584,735,0
0.0,3.4859576,9.040505,755,0
-0.22984336,3.4093432,8.963891,774,0
-0.2681506,3.5242648,8.619126,827,0
-0.11492168,3.715801,8.810662,828,0
0.076614454,3.715801,9.155427,834,0
0.22984336,3.8307228,9.461885,968,0
0.2681506,3.4476504,9.385271,968,0
0.30645782,3.5242648,9.423578,968,0
0.30645782,3.6391866,9.308656,968,0
0.22984336,3.6391866,9.576807,968,0
0.5363012,3.7924154,9.040505,969,0
0.19153613,3.7924154,8.887277,977,0
0.038307227,3.9456444,8.772355,994,0
0.15322891,3.9456444,8.887277,1047,0
0.15322891,3.6774938,9.193734,1047,0
-0.11492168,3.6008794,9.576807,1055,0
-0.30645782,3.4476504,9.80665,1077,0
-0.38307226,3.217807,10.381259,1094,0
-0.19153613,3.217807,10.228029,1115,0
-0.5746084,3.2944214,9.768343,1135,0
-0.5746084,3.2561142,9.155427,1154,0
-0.91937345,3.1794999,9.002198,1174,0
-0.9959879,3.217807,8.925584,1205,0
-0.7278373,3.1028855,9.308656,1214,0
-0.6512229,3.1794999,9.5385,1235,0
-0.7278373,3.064578,9.883265,1255,0
-0.19153613,3.217807,10.189722,1274,0
-0.11492168,3.217807,10.457873,1295,0
-0.15322891,2.9879637,10.304645,1318,0
-0.2681506,2.9113493,9.921572,1335,0
-0.15322891,2.873042,9.461885,1355,0
-0.2681506,2.9113493,8.887277,1375,0
-0.34476504,2.681506,8.810662,1395,0
-0.6512229,2.9113493,8.465898,1415,0
-0.49799395,2.9496565,8.312668,1436,0
-0.49799395,3.064578,8.159439,1469,0
-0.6512229,2.834735,8.619126,1482,0
-0.49799395,3.1028855,8.695741,1494,0
-0.38307226,2.9496565,8.848969,1514,0
-0.34476504,2.9113493,9.040505,1535,0
-0.5363012,2.834735,8.925584,1580,0
-0.45968673,2.4899697,9.002198,1581,0
-0.49799395,2.6048915,8.925584,1606,0
-0.6895301,2.9879637,8.619126,1614,0
-0.7661445,2.834735,8.274361,1640,0
-0.5746084,3.0262709,8.925584,1654,0
-0.34476504,3.0262709,8.848969,1674,0
-0.38307226,2.9879637,9.078813,1696,0
-0.15322891,2.9879637,9.423578,1726,0
0.038307227,2.7581203,9.768343,1734,0
0.11492168,2.566584,10.0748005,1754,0
0.49799395,2.6431987,10.496181,1774,0
0.7278373,2.6431987,10.151415,1794,0
0.49799395,2.7964275,9.5385,1816,0
0.0,3.1411927,9.002198,1837,0
-0.34476504,3.3327289,9.155427,1854,0
-0.45968673,3.1411927,9.232041,1875,0
-0.38307226,3.2944214,9.500193,1894,0
-0.49799395,3.4093432,9.730036,1915,0
-0.30645782,3.1794999,9.653421,1936,0
-0.5746084,3.0262709,9.423578,1954,0
-0.5746084,3.1411927,9.615114,1974,0
-0.6895301,2.9879637,9.500193,1994,0
-0.5363012,2.9496565,9.461885,2015,0
-0.5746084,3.064578,9.385271,2034,0
-0.8810662,3.064578,9.193734,2055,0
-1.2641385,3.3327289,9.232041,2074,0
-0.5363012,2.9496565,9.844957,2094,0
-0.15322891,2.681506,10.189722,2114,0
0.038307227,2.3750482,10.0748005,2134,0
-0.2681506,2.183512,9.461885,2155,0
-0.5363012,2.6048915,8.619126,2175,0
-0.6512229,2.4899697,8.350976,2204,0
-0.7278373,2.4899697,8.504205,2214,0
-0.842759,3.1794999,9.653421,2234,0
-0.8810662,2.834735,10.036493,2254,0
-0.7278373,2.681506,10.113108,2275,0
-0.34476504,2.7581203,10.342952,2304,0
0.0,2.7964275,10.649409,2318,0
0.5363012,2.9113493,10.994174,2334,0
0.5746084,2.7581203,11.070788,2354,0
0.6512229,2.873042,10.91756,2374,0
1.0342951,2.873042,9.040505,2394,0
1.3024458,2.4133554,8.504205,2416,0
0.842759,2.566584,7.776367,2435,0
-0.2681506,2.7581203,8.236053,2454,0
-0.45968673,2.834735,8.695741,2474,0
-0.30645782,2.4516625,9.002198,2495,0
0.22984336,2.834735,7.8912888,2515,0
0.2681506,2.4899697,8.848969,2536,0
0.5363012,2.2601264,10.457873,2555,0
0.5363012,2.528277,9.883265,2575,0
0.19153613,2.336741,10.036493,2594,0
-0.30645782,2.183512,9.883265,2614,0
-0.2681506,2.3750482,9.500193,2634,0
-0.15322891,2.2218192,9.002198,2683,0
-3.371036,2.6431987,9.5385,2684,0
-0.45968673,2.4133554,9.385271,2721,0
-0.038307227,2.7964275,10.151415,2721,0
0.19153613,2.719813,10.304645,2734,0
0.076614454,2.6431987,9.959879,2754,0
-0.19153613,2.6048915,9.730036,2774,0
-0.80445176,2.4133554,9.998186,2796,0
-0.80445176,2.2218192,9.653421,2814,0
-0.5746084,2.566584,9.385271,2836,0
-0.19153613,2.6431987,9.346964,2854,0
-0.49799395,2.4899697,9.653421,2874,0
-0.4213795,2.3750482,9.653421,2894,0
-0.49799395,2.2601264,9.615114,2920,0
-0.38307226,2.566584,9.346964,2936,0
-0.4213795,2.4133554,9.078813,2954,0
0.038307227,2.336741,9.155427,2974,0
0.076614454,2.2601264,9.5385,2994,0
-0.22984336,2.1068976,9.653421,3014,0
-0.4213795,1.8770541,9.5385,3038,0
-0.19153613,1.9153614,9.385271,3055,0
-0.19153613,1.9536686,9.461885,3074,0
-0.19153613,1.9153614,9.270349,3095,0
-0.15322891,2.2218192,9.308656,3116,0
-0.076614454,1.9919758,9.270349,3134,0
0.076614454,1.9919758,9.270349,3161,0
-0.15322891,2.1452048,9.461885,3174,0
-0.038307227,1.9919758,9.5385,3194,0
-0.30645782,1.9536686,9.615114,3214,0
-0.30645782,1.8004397,9.691729,3234,0
-0.11492168,1.7621324,9.80665,3254,0
-0.38307226,1.9536686,9.691729,3276,0
-0.2681506,1.685518,9.844957,3294,0
-0.30645782,1.7238252,10.228029,3314,0
-0.38307226,1.7621324,9.998186,3334,0
-0.5363012,1.9153614,10.151415,3354,0
-0.49799395,1.5705963,9.844957,3375,0
-0.49799395,1.6089035,9.653421,3398,0
-0.49799395,1.685518,9.80665,3414,0
-0.5363012,1.685518,9.844957,3438,0
-0.6512229,1.6472107,9.576807,3454,0
-0.45968673,1.6472107,9.461885,3474,0
-0.45968673,1.6089035,9.423578,3494,0
-0.30645782,1.5705963,9.461885,3517,0
-0.5746084,1.7621324,9.615114,3534,0
-0.45968673,1.7238252,9.730036,3554,0
-0.15322891,1.3790601,9.653421,3574,0
-0.45968673,1.4173675,9.730036,3594,0
-0.30645782,1.4556746,9.615114,3616,0
-0.22984336,1.340753,9.653421,3636,0
-0.22984336,1.4939818,9.768343,3654,0
-0.30645782,1.4939818,9.80665,3674,0
-0.4213795,1.5705963,9.691729,3694,0
-0.38307226,1.4939818,9.730036,3714,0
-0.49799395,1.6089035,9.883265,3735,0
-0.30645782,1.4939818,9.730036,3756,0
-0.2681506,1.5705963,9.730036,3774,0
-0.38307226,1.532289,9.730036,3794,0
-0.4213795,1.4556746,9.653421,3814,0
-0.61291564,1.532289,9.80665,3834,0
-0.45968673,1.4939818,9.844957,3854,0
-0.38307226,1.2641385,9.921572,3876,0
-0.19153613,1.4939818,9.883265,3906,0
-0.45968673,1.3790601,9.844957,3914,0
-0.4213795,1.340753,9.959879,3944,0
-0.5363012,1.340753,10.266336,3964,0
-0.30645782,1.340753,10.457873,3994,0
-0.2681506,1.1492168,10.189722,4031,0
-0.7278373,1.532289,10.534488,4034,0
0.0,1.4556746,11.33894,4054,0
0.6895301,1.2258313,11.300632,4074,0
1.0726024,1.1109096,10.534488,4094,0
0.5746084,1.1875241,8.963891,4116,0
0.6512229,1.4939818,8.504205,4134,0
0.4213795,2.2601264,9.040505,4154,0
0.22984336,2.4516625,9.11712,4174,0
0.22984336,1.8770541,9.232041,4194,0
0.49799395,2.1068976,9.270349,4214,0
0.34476504,1.9536686,9.308656,4249,0
0.38307226,2.183512,9.232041,4268,0
-0.076614454,2.1068976,9.346964,4284,0
0.19153613,2.2601264,9.002198,4306,0
-0.15322891,2.4899697,8.389283,4344,0
-0.076614454,2.3750482,9.500193,4362,0
0.15322891,2.4899697,9.270349,4400,0
0.2681506,2.3750482,9.653421,4400,0
-0.038307227,2.2218192,10.534488,4414,0
0.0,2.2984335,9.232041,4444,0
0.34476504,2.566584,9.040505,4469,0
0.2681506,2.4899697,9.232041,4495,0
0.0,2.3750482,9.270349,4520,0
0.11492168,2.2984335,9.346964,4544,0
-0.11492168,2.4133554,9.500193,4564,0
0.038307227,2.4133554,9.232041,4586,0
0.30645782,2.2601264,9.844957,4604,0
0.19153613,2.1452048,9.5385,4624,0
0.2681506,2.336741,9.921572,4644,0
0.19153613,2.1452048,9.80665,4664,0
0.038307227,2.1068976,9.883265,4684,0
0.038307227,2.0685902,9.768343,4708,0
0.15322891,2.030283,9.576807,4724,0
-0.076614454,2.0685902,9.615114,4748,0
-0.038307227,2.2601264,9.576807,4764,0
-0.076614454,2.2984335,9.500193,4784,0
-0.2681506,2.4516625,9.500193,4805,0
-0.22984336,2.336741,9.576807,4826,0
-0.30645782,2.566584,9.385271,4844,0
-0.11492168,2.4516625,9.308656,4864,0
0.0,2.6048915,9.346964,4884,0
-0.15322891,2.3750482,9.461885,4904,0
-0.076614454,2.336741,9.385271,4924,0
-0.11492168,2.4133554,9.653421,4947,0
0.038307227,2.4899697,9.346964,4964,0
0.076614454,2.183512,9.576807,5022,0
0.15322891,2.4133554,9.691729,5022,0
0.15322891,2.1452048,9.653421,5024,0
0.038307227,2.336741,9.423578,5047,0
-0.038307227,2.2984335,9.461885,5067,0
0.076614454,2.2984335,9.500193,5096,0
-0.11492168,2.2218192,9.576807,5114,0
0.038307227,2.2984335,9.385271,5134,0
0.11492168,2.3750482,8.963891,5155,0
0.19153613,2.4899697,9.11712,5185,0
0.076614454,2.4516625,9.270349,5195,0
-0.038307227,2.4133554,9.232041,5214,0
0.0,2.4133554,9.423578,5251,0
0.2681506,2.336741,9.346964,5264,0
-0.2681506,2.4133554,9.5385,5284,0
-0.15322891,2.4516625,9.691729,5660,0
-0.038307227,2.4516625,10.036493,5660,0
-0.076614454,2.4133554,9.998186,5660,0
0.038307227,2.2984335,10.113108,5660,0
0.22984336,2.528277,9.844957,5661,0
0.22984336,2.3750482,9.576807,5661,0
0.22984336,2.2601264,9.500193,5661,0
0.15322891,2.336741,9.423578,5661,0
0.2681506,2.2984335,9.308656,5661,0
0.11492168,2.2218192,9.155427,5661,0
0.076614454,2.2984335,9.270349,5661,0
-0.15322891,2.2601264,9.270349,5661,0
-0.2681506,2.1452048,9.002198,5661,0
-0.30645782,2.336741,9.615114,5661,0
-0.2681506,2.2218192,9.691729,5661,0
-0.30645782,2.3750482,9.653421,5661,0
-0.19153613,2.2601264,9.921572,5661,0
-0.22984336,2.183512,10.036493,5674,0
-0.49799395,1.9153614,9.959879,5694,0
-0.34476504,2.1068976,10.036493,5715,0
-0.5363012,2.1452048,10.151415,5734,0
-0.38307226,2.0685902,9.959879,5754,0
-0.34476504,2.2601264,9.461885,5795,0
-0.2681506,2.3750482,9.500193,5804,0
-0.19153613,2.4899697,9.270349,5824,0
-0.15322891,2.4516625,9.002198,5844,0
-0.19153613,2.566584,9.270349,5864,0
-0.19153613,2.1452048,9.5385,5884,0
-0.30645782,2.4516625,9.576807,5906,0
-0.2681506,2.4899697,9.576807,5924,0
-0.2681506,2.719813,9.615114,5954,0
-0.30645782,2.4899697,9.576807,5974,0
-0.34476504,2.4899697,9.385271,5995,0
-0.61291564,2.336741,9.5385,6016,0
-0.5363012,2.030283,9.730036,6034,0
-0.49799395,2.1452048,9.883265,6054,0
-0.34476504,2.0685902,9.998186,6075,0
-0.19153613,1.8004397,9.998186,6094,0
-0.076614454,2.1068976,9.844957,6114,0
0.076614454,1.9536686,9.768343,6136,0
0.11492168,1.8004397,9.155427,6155,0
0.11492168,2.030283,8.887277,6233,0
0.0,1.8004397,8.848969,6233,0
-0.19153613,2.1452048,9.270349,6233,0
-0.5363012,2.2218192,9.461885,6235,0
-0.5363012,2.3750482,9.998186,6278,0
-0.6512229,2.2601264,10.113108,6278,0
-0.38307226,2.566584,9.11712,6299,0
-0.6512229,1.8387469,9.615114,6314,0
-0.7661445,2.336741,9.998186,6344,0
-0.7661445,2.1452048,10.113108,6364,0
-0.7661445,2.336741,10.189722,6399,0
-0.5746084,2.2984335,10.534488,6414,0
-0.49799395,2.3750482,10.840945,6434,0
-0.842759,3.217807,9.998186,6455,0
0.34476504,2.183512,10.228029,6474,0
-0.2681506,1.9153614,8.542512,6494,0
0.038307227,2.4899697,8.197746,6516,0
-0.076614454,2.1452048,9.155427,6534,0
0.0,2.566584,8.963891,6554,0
-0.076614454,2.834735,8.772355,6574,0
-0.19153613,2.9113493,9.002198,6595,0
-0.5746084,2.336741,9.002198,6614,0
-0.15322891,2.336741,10.0748005,6636,0
-0.8810662,2.2218192,8.465898,6654,0
-0.45968673,3.0262709,10.381259,6674,0
-0.5746084,2.6048915,10.342952,6694,0
-0.4213795,2.336741,9.423578,6714,0
-0.5746084,2.4899697,9.193734,6734,0
-0.4213795,2.6048915,9.5385,6757,0
-0.6895301,2.9113493,9.040505,6776,0
-0.842759,3.1411927,8.236053,6794,0
-1.0726024,3.3327289,8.0445175,6814,0
-1.0726024,3.5242648,8.350976,6834,0
-1.5705963,3.86903,8.0445175,6854,0
-1.8004397,4.367024,8.504205,6877,0
-2.0685902,4.060566,8.580819,6894,0
-1.8770541,3.715801,8.465898,6914,0
-1.685518,4.060566,8.6574335,6937,0
-2.0685902,4.4436383,9.232041,6955,0
-2.4516625,4.9416323,10.6877165,6974,0
-1.8387469,3.9839516,9.730036,6996,0
-1.6089035,3.8307228,9.730036,7014,0
-1.1875241,3.6774938,9.653421,7046,0
-1.340753,3.8307228,9.232041,7064,0
-1.3790601,3.86903,8.963891,7084,0
-1.3790601,3.9456444,8.772355,7110,0
-1.340753,3.9073372,8.810662,7124,0
-1.2641385,3.8307228,8.887277,7144,0
-1.4173675,3.7924154,8.772355,7164,0
-1.2641385,3.7924154,8.925584,7185,0
-1.1109096,3.6774938,8.734048,7206,0
-0.842759,3.5625722,8.42759,7226,0
-0.38307226,3.1794999,8.6574335,7244,0
-0.6895301,3.217807,9.270349,7264,0
-0.5746084,3.3327289,9.155427,7284,0
-0.7278373,2.9879637,9.461885,7304,0
-0.61291564,2.9113493,9.461885,7325,0
-0.61291564,2.9879637,9.461885,7355,0
-0.5746084,3.0262709,9.5385,7364,0
-0.5746084,3.0262709,9.691729,7390,0
-0.61291564,3.064578,9.193734,7405,0
-0.30645782,3.064578,8.887277,7424,0
-0.45968673,3.1028855,8.925584,7444,0
-0.6895301,3.1794999,9.11712,7466,0
-0.5363012,3.2561142,9.155427,7484,0
-0.80445176,3.2944214,9.11712,7505,0
-0.80445176,3.2561142,8.772355,7524,0
-0.6512229,3.2561142,8.734048,7544,0
-0.7278373,3.4859576,9.11712,7565,0
-0.9576807,3.371036,9.11712,7595,0
-1.0726024,3.2561142,9.308656,7604,0
-0.9959879,3.2944214,9.500193,7625,0
-1.1492168,3.1028855,9.385271,7646,0
-1.2258313,3.1794999,9.500193,7664,0
-1.5705963,3.2561142,9.423578,7685,0
-1.1875241,3.2561142,9.423578,7707,0
-1.3790601,3.4093432,9.232041,7724,0
-1.2258313,3.4476504,9.346964,7744,0
-1.3024458,3.6008794,9.461885,7764,0
-1.3024458,3.6774938,9.193734,7785,0
