rawX,rawY,rawZ,timestampsensorType
-1.6472107,2.1068976,7.0102224,5,0
-1.340753,2.4133554,6.5505357,24,0
-1.1109096,2.681506,6.8569937,46,0
-0.7278373,3.4859576,8.810662,69,0
-1.4173675,2.4899697,9.423578,85,0
-1.7238252,0.30645782,10.304645,107,0
-1.4939818,-0.038307227,10.381259,125,0
-0.80445176,0.8810662,9.040505,146,0
0.076614454,-0.8810662,7.6231384,173,0
0.038307227,-0.34476504,7.8146744,185,0
-0.4213795,0.91937345,7.6614456,205,0
-0.49799395,1.2258313,6.703765,224,0
0.61291564,1.9536686,8.236053,244,0
0.61291564,1.6089035,7.5465236,266,0
0.2681506,-0.49799395,7.240066,288,0
-1.1109096,0.19153613,12.717999,316,0
3.2944214,0.22984336,13.139379,325,0
-2.4516625,2.2601264,10.955867,344,0
-1.5705963,1.6472107,12.143391,366,0
1.8004397,1.0726024,11.032481,384,0
1.1109096,1.4939818,11.990162,417,0
2.528277,1.1875241,11.951855,434,0
3.4476504,0.5746084,9.346964,444,0
2.9496565,0.7278373,9.80665,466,0
3.1028855,1.1109096,10.879252,484,0
2.4133554,1.6089035,11.530476,507,0
2.0685902,2.0685902,9.844957,543,0
1.6089035,1.9536686,7.776367,550,0
0.61291564,2.6431987,7.776367,564,0
0.19153613,2.6048915,7.1251445,584,0
-0.842759,2.7581203,7.431602,607,0
-1.1875241,3.0262709,8.580819,627,0
-1.6089035,3.5242648,9.346964,658,0
0.076614454,4.060566,10.189722,671,0
-0.19153613,3.6008794,9.002198,684,0
0.842759,3.217807,8.197746,707,0
3.1028855,2.566584,9.653421,725,0
4.098873,2.2601264,10.036493,747,0
3.8307228,2.183512,8.082825,782,0
3.2561142,2.2218192,6.4739213,786,0
3.4476504,2.2601264,5.66947,807,0
3.86903,2.2601264,5.209783,825,0
4.175488,2.0685902,6.5505357,844,0
5.7843914,3.2561142,6.167464,865,0
3.1411927,2.4516625,4.9799395,890,0
3.2561142,2.566584,5.707777,909,0
4.213795,2.566584,7.469909,925,0
3.7924154,2.183512,7.5082164,944,0
2.2218192,1.685518,7.0485296,965,0
2.2601264,1.5705963,5.7843914,987,0
4.3287168,1.340753,4.7500963,1015,0
5.707777,0.34476504,5.631162,1032,0
6.129156,-0.61291564,6.090849,1044,0
6.435614,-1.2258313,7.431602,1068,0
7.2783732,-2.1452048,7.5465236,1085,0
7.201759,-1.9153614,8.6574335,1110,0
8.580819,-3.5625722,9.308656,1132,0
7.2783732,-3.6008794,8.848969,1144,0
8.197746,-4.098873,7.5082164,1165,0
7.201759,-4.8267107,5.5162406,1185,0
8.848969,-4.405331,5.4779334,1211,0
10.113108,-5.094861,5.171476,1228,0
10.572795,-6.0525417,4.5202527,1246,0
8.810662,-4.9416323,4.6351743,1269,0
8.6574335,-5.094861,3.217807,1284,0
7.5082164,-5.0182467,3.4093432,1309,0
6.6654577,-3.8307228,2.1452048,1325,0
5.861006,-3.8307228,1.0342951,1344,0
7.8529816,-7.967903,1.0726024,1376,0
11.262324,-13.062764,3.2561142,1384,0
8.963891,-10.266336,6.244078,1408,0
7.469909,-6.933608,4.5202527,1425,0
9.844957,-9.346964,2.1068976,1454,0
10.381259,-13.828909,0.9959879,1464,0
3.7924154,-7.6231384,4.6351743,1486,0
5.401319,-8.274361,3.4476504,1507,0
6.8186865,-7.431602,2.2984335,1527,0
8.082825,-5.899313,1.9919758,1583,0
8.274361,-8.734048,-1.532289,1583,0
5.401319,-7.5465236,-2.0685902,1584,0
3.86903,-7.776367,-4.4436383,1605,0
1.6089035,-10.457873,-13.9438305,1624,0
5.2863975,-10.113108,3.371036,1644,0
1.2258313,-10.419566,5.899313,1668,0
0.61291564,-9.500193,5.056554,1684,0
9.653421,-14.441825,-5.554548,1704,0
10.91756,-12.105083,4.6351743,1725,0
8.350976,-9.576807,-5.746084,1744,0
4.903325,-9.232041,-1.4939818,1764,0
5.0182467,-9.844957,2.7581203,1784,0
4.903325,-10.764331,7.73806,1804,0
2.6431987,-10.994174,-1.1109096,16036,0
-3.4093432,-8.580819,-3.715801,16040,0
-8.389283,-10.611102,-2.6431987,16040,0
-12.947843,-15.629349,-1.0342951,16055,0
-14.671668,-19.230228,2.1068976,16137,0
-8.350976,-19.421764,4.367024,16137,0
-0.4213795,-19.421764,-1.2641385,16137,0
4.673482,-10.381259,-18.387468,16146,0
1.0342951,-10.91756,-7.1251445,16219,0
-7.2783732,-14.824897,12.717999,16219,0
-0.842759,-9.193734,2.2984335,16219,0
0.38307226,-4.8267107,1.532289,16225,0
3.2561142,-1.5705963,-0.38307226,16245,0
0.34476504,3.5242648,-0.8810662,16283,0
-0.7278373,5.554548,1.7621324,16313,0
-0.45968673,4.213795,5.209783,16326,0
1.0726024,0.19153613,7.73806,16345,0
-0.49799395,-3.4093432,7.5082164,16365,0
-0.34476504,-5.2863975,1.8387469,16385,0
-0.7661445,-9.308656,0.0,16405,0
5.439626,-14.211981,1.532289,16425,0
8.848969,-18.119318,-3.6774938,16445,0
13.522451,-12.258312,-12.105083,16465,0
6.933608,-12.947843,-6.6654577,16485,0
3.0262709,-11.60709,3.217807,16505,0
-2.9113493,-9.040505,7.5082164,16525,0
-3.7541082,-6.933608,5.3247046,16545,0
0.7278373,-7.929596,4.711789,16565,0
18.847157,-12.756307,2.4516625,16585,0
2.6431987,-4.7884035,6.4739213,16605,0
13.101071,-9.270349,7.5848308,16625,0
17.27656,-6.895301,2.183512,16645,0
12.181698,-8.887277,0.80445176,16665,0
8.963891,-7.5848308,1.685518,16685,0
6.6271505,-6.090849,0.6895301,16707,0
4.4436383,-5.0182467,-0.19153613,16725,0
1.532289,-4.405331,-0.8810662,16745,0
3.2944214,-5.592855,-1.4939818,16768,0
5.439626,-13.445837,3.6008794,16786,0
7.469909,-11.377247,-4.098873,16810,0
2.3750482,-13.790602,1.4173675,16825,0
4.3287168,-13.215993,-3.0262709,16846,0
2.6431987,-11.33894,-0.7661445,16865,0
-1.2641385,-8.350976,-2.9113493,16885,0
-0.45968673,-6.742072,-0.076614454,16905,0
-3.1411927,-4.2904096,5.094861,16925,0
-2.4133554,-2.1068976,3.064578,16945,0
6.0142345,-6.7803793,1.685518,16965,0
-0.076614454,-9.653421,-0.5746084,16985,0
0.15322891,-10.457873,-0.842759,17005,0
1.2258313,-11.33894,-2.7581203,17025,0
-2.873042,-12.449849,-2.4516625,17045,0
4.213795,-12.717999,1.1875241,17065,0
1.3790601,-8.734048,-0.5363012,17085,0
-0.8810662,-9.653421,0.5746084,17105,0
-3.4476504,-8.082825,0.038307227,17125,0
0.038307227,-6.6271505,-7.6231384,17145,0
16.357185,-16.050728,3.7924154,17165,0
-2.0685902,-7.6614456,0.076614454,17185,0
-3.9839516,-8.619126,-1.4173675,17205,0
4.060566,-10.611102,1.4939818,17225,0
2.336741,-8.6574335,-0.5746084,17245,0
-8.504205,2.873042,1.6472107,17265,0
-0.91937345,-6.6271505,1.9536686,17285,0
-1.2258313,-5.746084,-5.171476,17306,0
-2.030283,-14.939818,-0.9959879,17325,0
0.2681506,-15.246277,-1.1875241,17345,0
-0.842759,-14.365211,0.5746084,17365,0
0.45968673,-10.91756,-3.0262709,17385,0
0.0,-9.385271,-2.566584,17405,0
-3.3327289,-10.266336,-0.19153613,17425,0
-4.596867,-10.496181,1.4939818,17445,0
-4.5202527,-9.768343,1.0342951,17465,0
-6.8186865,-17.81286,-8.350976,17485,0
-1.8387469,-11.9135475,-1.685518,17505,0
-6.205771,-10.534488,-1.6089035,17525,0
-1.532289,-13.177686,-0.9959879,17545,0
-3.7924154,-11.492168,-0.2681506,17565,0
-4.4436383,-9.80665,-0.80445176,17585,0
-2.6431987,-7.8912888,-1.685518,17605,0
-1.1109096,-9.002198,-1.4556746,17625,0
-1.6089035,-10.113108,-1.6089035,17645,0
-3.1028855,-9.500193,-2.4133554,17665,0
-3.7924154,-7.8912888,-2.183512,17685,0
-0.91937345,-9.691729,-0.15322891,17705,0
1.1492168,-9.500193,-1.4939818,17725,0
0.49799395,-8.963891,-1.1875241,17745,0
-1.1875241,-8.42759,-1.4556746,17765,0
-1.8004397,-7.5848308,-1.9919758,17785,0
-1.8770541,-10.113108,0.9576807,17805,0
-0.61291564,-8.197746,0.34476504,17825,0
0.038307227,-7.8529816,-0.91937345,17845,0
1.6089035,-8.810662,-1.532289,17865,0
3.2944214,-8.887277,-0.6512229,17885,0
0.9576807,-9.500193,-3.4859576,17905,0
-1.4939818,-10.0748005,-0.9959879,17925,0
-4.098873,-9.078813,-0.49799395,17945,0
0.19153613,-9.423578,-0.9959879,17965,0
0.45968673,-10.189722,-3.371036,17985,0
0.5363012,-10.151415,-3.1411927,18005,0
1.0342951,-9.768343,-2.6048915,18025,0
-2.0685902,-9.691729,-1.8387469,18045,0
-1.4556746,-8.504205,-1.3790601,18065,0
-1.3024458,-10.266336,-1.9536686,18085,0
0.49799395,-10.611102,-2.6048915,18105,0
-2.6048915,-13.637373,-4.596867,18125,0
-2.719813,-14.097059,-3.4859576,18145,0
-1.8387469,-14.480132,-2.4133554,18165,0
-2.6048915,-12.066776,-2.9113493,18185,0
-2.566584,-12.564771,-2.566584,18205,0
